"Drug","Neuroticism","Extraversion","Openness","Agreeableness","Cscore","Usage","Education"
"Nicotine","18","21","23","25","25","CL6","Some College"
"Semer","18","21","23","25","25","CL0","Some College"
"VSA","18","21","23","25","25","CL0","Some College"
"Alcohol","31","24","22","26","26","CL5","University Degree"
"Amphet","31","24","22","26","26","CL0","University Degree"
"Amyl","31","24","22","26","26","CL0","University Degree"
"Benzos","31","24","22","26","26","CL0","University Degree"
"Caff","31","24","22","26","26","CL6","University Degree"
"Cannabis","31","24","22","26","26","CL2","University Degree"
"Choc","31","24","22","26","26","CL5","University Degree"
"Coke","31","24","22","26","26","CL0","University Degree"
"Crack","31","24","22","26","26","CL0","University Degree"
"Ecstasy","31","24","22","26","26","CL0","University Degree"
"Heroin","31","24","22","26","26","CL0","University Degree"
"Ketamine","31","24","22","26","26","CL0","University Degree"
"Legalh","31","24","22","26","26","CL0","University Degree"
"LSD","31","24","22","26","26","CL0","University Degree"
"Meth","31","24","22","26","26","CL0","University Degree"
"Mushrooms","31","24","22","26","26","CL0","University Degree"
"Nicotine","31","24","22","26","26","CL0","University Degree"
"Semer","31","24","22","26","26","CL0","University Degree"
"VSA","31","24","22","26","26","CL0","University Degree"
"Alcohol","20","26","17","24","32","CL5","17"
"Amphet","20","26","17","24","32","CL0","17"
"Amyl","20","26","17","24","32","CL0","17"
"Benzos","20","26","17","24","32","CL0","17"
"Caff","20","26","17","24","32","CL6","17"
"Cannabis","20","26","17","24","32","CL0","17"
"Choc","20","26","17","24","32","CL6","17"
"Coke","20","26","17","24","32","CL0","17"
"Crack","20","26","17","24","32","CL0","17"
"Ecstasy","20","26","17","24","32","CL0","17"
"Heroin","20","26","17","24","32","CL0","17"
"Ketamine","20","26","17","24","32","CL0","17"
"Legalh","20","26","17","24","32","CL0","17"
"LSD","20","26","17","24","32","CL0","17"
"Meth","20","26","17","24","32","CL0","17"
"Mushrooms","20","26","17","24","32","CL0","17"
"Nicotine","20","26","17","24","32","CL0","17"
"Semer","20","26","17","24","32","CL0","17"
"VSA","20","26","17","24","32","CL0","17"
"Alcohol","17","23"," 5","20","34","CL6","Trade School"
"Amphet","17","23"," 5","20","34","CL0","Trade School"
"Amyl","17","23"," 5","20","34","CL0","Trade School"
"Benzos","17","23"," 5","20","34","CL0","Trade School"
"Caff","17","23"," 5","20","34","CL0","Trade School"
"Cannabis","17","23"," 5","20","34","CL0","Trade School"
"Choc","17","23"," 5","20","34","CL6","Trade School"
"Coke","17","23"," 5","20","34","CL1","Trade School"
"Crack","17","23"," 5","20","34","CL0","Trade School"
"Ecstasy","17","23"," 5","20","34","CL0","Trade School"
"Heroin","17","23"," 5","20","34","CL0","Trade School"
"Ketamine","17","23"," 5","20","34","CL0","Trade School"
"Legalh","17","23"," 5","20","34","CL0","Trade School"
"LSD","17","23"," 5","20","34","CL0","Trade School"
"Meth","17","23"," 5","20","34","CL0","Trade School"
"Mushrooms","17","23"," 5","20","34","CL0","Trade School"
"Nicotine","17","23"," 5","20","34","CL0","Trade School"
"Semer","17","23"," 5","20","34","CL0","Trade School"
"VSA","17","23"," 5","20","34","CL0","Trade School"
"Alcohol","12","28","20","19","36","CL6","Trade School"
"Amphet","12","28","20","19","36","CL2","Trade School"
"Amyl","12","28","20","19","36","CL1","Trade School"
"Benzos","12","28","20","19","36","CL0","Trade School"
"Caff","12","28","20","19","36","CL6","Trade School"
"Cannabis","12","28","20","19","36","CL1","Trade School"
"Choc","12","28","20","19","36","CL6","Trade School"
"Coke","12","28","20","19","36","CL2","Trade School"
"Crack","12","28","20","19","36","CL1","Trade School"
"Ecstasy","12","28","20","19","36","CL3","Trade School"
"Heroin","12","28","20","19","36","CL0","Trade School"
"Ketamine","12","28","20","19","36","CL2","Trade School"
"Legalh","12","28","20","19","36","CL0","Trade School"
"LSD","12","28","20","19","36","CL2","Trade School"
"Meth","12","28","20","19","36","CL1","Trade School"
"Mushrooms","12","28","20","19","36","CL2","Trade School"
"Nicotine","12","28","20","19","36","CL5","Trade School"
"Semer","12","28","20","19","36","CL0","Trade School"
"VSA","12","28","20","19","36","CL1","Trade School"
"Alcohol","27","32","18","14","19","CL6","University Degree"
"Amphet","27","32","18","14","19","CL1","University Degree"
"Amyl","27","32","18","14","19","CL1","University Degree"
"Benzos","27","32","18","14","19","CL1","University Degree"
"Caff","27","32","18","14","19","CL4","University Degree"
"Cannabis","27","32","18","14","19","CL2","University Degree"
"Choc","27","32","18","14","19","CL5","University Degree"
"Coke","27","32","18","14","19","CL3","University Degree"
"Crack","27","32","18","14","19","CL0","University Degree"
"Ecstasy","27","32","18","14","19","CL3","University Degree"
"Heroin","27","32","18","14","19","CL0","University Degree"
"Ketamine","27","32","18","14","19","CL0","University Degree"
"Legalh","27","32","18","14","19","CL3","University Degree"
"LSD","27","32","18","14","19","CL1","University Degree"
"Meth","27","32","18","14","19","CL0","University Degree"
"Mushrooms","27","32","18","14","19","CL1","University Degree"
"Nicotine","27","32","18","14","19","CL5","University Degree"
"Semer","27","32","18","14","19","CL0","University Degree"
"VSA","27","32","18","14","19","CL0","University Degree"
"Alcohol"," 9","28","14","22","29","CL6","University Degree"
"Amphet"," 9","28","14","22","29","CL0","University Degree"
"Amyl"," 9","28","14","22","29","CL0","University Degree"
"Benzos"," 9","28","14","22","29","CL0","University Degree"
"Caff"," 9","28","14","22","29","CL6","University Degree"
"Cannabis"," 9","28","14","22","29","CL2","University Degree"
"Choc"," 9","28","14","22","29","CL5","University Degree"
"Coke"," 9","28","14","22","29","CL0","University Degree"
"Crack"," 9","28","14","22","29","CL0","University Degree"
"Ecstasy"," 9","28","14","22","29","CL0","University Degree"
"Heroin"," 9","28","14","22","29","CL0","University Degree"
"Ketamine"," 9","28","14","22","29","CL0","University Degree"
"Legalh"," 9","28","14","22","29","CL0","University Degree"
"LSD"," 9","28","14","22","29","CL0","University Degree"
"Meth"," 9","28","14","22","29","CL0","University Degree"
"Mushrooms"," 9","28","14","22","29","CL1","University Degree"
"Nicotine"," 9","28","14","22","29","CL1","University Degree"
"Semer"," 9","28","14","22","29","CL0","University Degree"
"VSA"," 9","28","14","22","29","CL0","University Degree"
"Alcohol","26","27","15","14","28","CL6","Trade School"
"Amphet","26","27","15","14","28","CL0","Trade School"
"Amyl","26","27","15","14","28","CL0","Trade School"
"Benzos","26","27","15","14","28","CL0","Trade School"
"Caff","26","27","15","14","28","CL6","Trade School"
"Cannabis","26","27","15","14","28","CL0","Trade School"
"Choc","26","27","15","14","28","CL5","Trade School"
"Coke","26","27","15","14","28","CL0","Trade School"
"Crack","26","27","15","14","28","CL0","Trade School"
"Ecstasy","26","27","15","14","28","CL0","Trade School"
"Heroin","26","27","15","14","28","CL0","Trade School"
"Ketamine","26","27","15","14","28","CL0","Trade School"
"Legalh","26","27","15","14","28","CL0","Trade School"
"LSD","26","27","15","14","28","CL0","Trade School"
"Meth","26","27","15","14","28","CL0","Trade School"
"Mushrooms","26","27","15","14","28","CL0","Trade School"
"Nicotine","26","27","15","14","28","CL6","Trade School"
"Semer","26","27","15","14","28","CL0","Trade School"
"VSA","26","27","15","14","28","CL0","Trade School"
"Alcohol","17","26","23","15","31","CL6","Masters"
"Amphet","17","26","23","15","31","CL0","Masters"
"Amyl","17","26","23","15","31","CL0","Masters"
"Benzos","17","26","23","15","31","CL0","Masters"
"Caff","17","26","23","15","31","CL6","Masters"
"Cannabis","17","26","23","15","31","CL5","Masters"
"Choc","17","26","23","15","31","CL3","Masters"
"Coke","17","26","23","15","31","CL0","Masters"
"Crack","17","26","23","15","31","CL0","Masters"
"Ecstasy","17","26","23","15","31","CL0","Masters"
"Heroin","17","26","23","15","31","CL0","Masters"
"Ketamine","17","26","23","15","31","CL0","Masters"
"Legalh","17","26","23","15","31","CL0","Masters"
"LSD","17","26","23","15","31","CL0","Masters"
"Meth","17","26","23","15","31","CL0","Masters"
"Mushrooms","17","26","23","15","31","CL0","Masters"
"Nicotine","17","26","23","15","31","CL6","Masters"
"Semer","17","26","23","15","31","CL0","Masters"
"VSA","17","26","23","15","31","CL1","Masters"
"Alcohol","16","32","30","30","29","CL1","Masters"
"Amphet","16","32","30","30","29","CL1","Masters"
"Amyl","16","32","30","30","29","CL1","Masters"
"Benzos","16","32","30","30","29","CL0","Masters"
"Caff","16","32","30","30","29","CL5","Masters"
"Cannabis","16","32","30","30","29","CL1","Masters"
"Choc","16","32","30","30","29","CL6","Masters"
"Coke","16","32","30","30","29","CL1","Masters"
"Crack","16","32","30","30","29","CL0","Masters"
"Ecstasy","16","32","30","30","29","CL1","Masters"
"Heroin","16","32","30","30","29","CL0","Masters"
"Ketamine","16","32","30","30","29","CL1","Masters"
"Legalh","16","32","30","30","29","CL0","Masters"
"LSD","16","32","30","30","29","CL0","Masters"
"Meth","16","32","30","30","29","CL0","Masters"
"Mushrooms","16","32","30","30","29","CL1","Masters"
"Nicotine","16","32","30","30","29","CL4","Masters"
"Semer","16","32","30","30","29","CL0","Masters"
"VSA","16","32","30","30","29","CL1","Masters"
"Alcohol","23","23"," 7","28","30","CL4","18"
"Amphet","23","23"," 7","28","30","CL0","18"
"Amyl","23","23"," 7","28","30","CL0","18"
"Benzos","23","23"," 7","28","30","CL0","18"
"Caff","23","23"," 7","28","30","CL6","18"
"Cannabis","23","23"," 7","28","30","CL1","18"
"Choc","23","23"," 7","28","30","CL6","18"
"Coke","23","23"," 7","28","30","CL0","18"
"Crack","23","23"," 7","28","30","CL0","18"
"Ecstasy","23","23"," 7","28","30","CL0","18"
"Heroin","23","23"," 7","28","30","CL0","18"
"Ketamine","23","23"," 7","28","30","CL0","18"
"Legalh","23","23"," 7","28","30","CL0","18"
"LSD","23","23"," 7","28","30","CL0","18"
"Meth","23","23"," 7","28","30","CL0","18"
"Mushrooms","23","23"," 7","28","30","CL0","18"
"Nicotine","23","23"," 7","28","30","CL1","18"
"Semer","23","23"," 7","28","30","CL0","18"
"VSA","23","23"," 7","28","30","CL0","18"
"Alcohol","26","16","18","13","20","CL5","16"
"Amphet","26","16","18","13","20","CL2","16"
"Amyl","26","16","18","13","20","CL2","16"
"Benzos","26","16","18","13","20","CL0","16"
"Caff","26","16","18","13","20","CL6","16"
"Cannabis","26","16","18","13","20","CL6","16"
"Choc","26","16","18","13","20","CL6","16"
"Coke","26","16","18","13","20","CL2","16"
"Crack","26","16","18","13","20","CL0","16"
"Ecstasy","26","16","18","13","20","CL2","16"
"Heroin","26","16","18","13","20","CL0","16"
"Ketamine","26","16","18","13","20","CL2","16"
"Legalh","26","16","18","13","20","CL2","16"
"LSD","26","16","18","13","20","CL2","16"
"Meth","26","16","18","13","20","CL0","16"
"Mushrooms","26","16","18","13","20","CL2","16"
"Nicotine","26","16","18","13","20","CL6","16"
"Semer","26","16","18","13","20","CL0","16"
"VSA","26","16","18","13","20","CL0","16"
"Alcohol","16","19","19","20","15","CL5","Some College"
"Amphet","16","19","19","20","15","CL0","Some College"
"Amyl","16","19","19","20","15","CL0","Some College"
"Benzos","16","19","19","20","15","CL0","Some College"
"Caff","16","19","19","20","15","CL5","Some College"
"Cannabis","16","19","19","20","15","CL5","Some College"
"Choc","16","19","19","20","15","CL6","Some College"
"Coke","16","19","19","20","15","CL0","Some College"
"Crack","16","19","19","20","15","CL0","Some College"
"Ecstasy","16","19","19","20","15","CL0","Some College"
"Heroin","16","19","19","20","15","CL0","Some College"
"Ketamine","16","19","19","20","15","CL0","Some College"
"Legalh","16","19","19","20","15","CL0","Some College"
"LSD","16","19","19","20","15","CL0","Some College"
"Meth","16","19","19","20","15","CL0","Some College"
"Mushrooms","16","19","19","20","15","CL0","Some College"
"Nicotine","16","19","19","20","15","CL0","Some College"
"Semer","16","19","19","20","15","CL0","Some College"
"VSA","16","19","19","20","15","CL0","Some College"
"Alcohol","12","28","19","19","22","CL5","University Degree"
"Amphet","12","28","19","19","22","CL0","University Degree"
"Amyl","12","28","19","19","22","CL0","University Degree"
"Benzos","12","28","19","19","22","CL2","University Degree"
"Caff","12","28","19","19","22","CL5","University Degree"
"Cannabis","12","28","19","19","22","CL5","University Degree"
"Choc","12","28","19","19","22","CL5","University Degree"
"Coke","12","28","19","19","22","CL0","University Degree"
"Crack","12","28","19","19","22","CL0","University Degree"
"Ecstasy","12","28","19","19","22","CL0","University Degree"
"Heroin","12","28","19","19","22","CL0","University Degree"
"Ketamine","12","28","19","19","22","CL0","University Degree"
"Legalh","12","28","19","19","22","CL0","University Degree"
"LSD","12","28","19","19","22","CL0","University Degree"
"Meth","12","28","19","19","22","CL0","University Degree"
"Mushrooms","12","28","19","19","22","CL0","University Degree"
"Nicotine","12","28","19","19","22","CL6","University Degree"
"Semer","12","28","19","19","22","CL0","University Degree"
"VSA","12","28","19","19","22","CL0","University Degree"
"Alcohol","34","23","20","23","27","CL3","17"
"Amphet","34","23","20","23","27","CL1","17"
"Amyl","34","23","20","23","27","CL1","17"
"Benzos","34","23","20","23","27","CL1","17"
"Caff","34","23","20","23","27","CL6","17"
"Cannabis","34","23","20","23","27","CL6","17"
"Choc","34","23","20","23","27","CL6","17"
"Coke","34","23","20","23","27","CL2","17"
"Crack","34","23","20","23","27","CL0","17"
"Ecstasy","34","23","20","23","27","CL0","17"
"Heroin","34","23","20","23","27","CL0","17"
"Ketamine","34","23","20","23","27","CL0","17"
"Legalh","34","23","20","23","27","CL0","17"
"LSD","34","23","20","23","27","CL1","17"
"Meth","34","23","20","23","27","CL0","17"
"Mushrooms","34","23","20","23","27","CL1","17"
"Nicotine","34","23","20","23","27","CL6","17"
"Semer","34","23","20","23","27","CL0","17"
"VSA","34","23","20","23","27","CL1","17"
"Alcohol","26","34","32","32","25","CL5","<16"
"Amphet","26","34","32","32","25","CL3","<16"
"Amyl","26","34","32","32","25","CL2","<16"
"Benzos","26","34","32","32","25","CL3","<16"
"Caff","26","34","32","32","25","CL6","<16"
"Cannabis","26","34","32","32","25","CL5","<16"
"Choc","26","34","32","32","25","CL6","<16"
"Coke","26","34","32","32","25","CL0","<16"
"Crack","26","34","32","32","25","CL0","<16"
"Ecstasy","26","34","32","32","25","CL3","<16"
"Heroin","26","34","32","32","25","CL0","<16"
"Ketamine","26","34","32","32","25","CL0","<16"
"Legalh","26","34","32","32","25","CL4","<16"
"LSD","26","34","32","32","25","CL0","<16"
"Meth","26","34","32","32","25","CL0","<16"
"Mushrooms","26","34","32","32","25","CL3","<16"
"Nicotine","26","34","32","32","25","CL6","<16"
"Semer","26","34","32","32","25","CL0","<16"
"VSA","26","34","32","32","25","CL0","<16"
"Alcohol","42","17","31","24","22","CL3","University Degree"
"Amphet","42","17","31","24","22","CL1","University Degree"
"Amyl","42","17","31","24","22","CL0","University Degree"
"Benzos","42","17","31","24","22","CL0","University Degree"
"Caff","42","17","31","24","22","CL6","University Degree"
"Cannabis","42","17","31","24","22","CL6","University Degree"
"Choc","42","17","31","24","22","CL6","University Degree"
"Coke","42","17","31","24","22","CL1","University Degree"
"Crack","42","17","31","24","22","CL0","University Degree"
"Ecstasy","42","17","31","24","22","CL2","University Degree"
"Heroin","42","17","31","24","22","CL0","University Degree"
"Ketamine","42","17","31","24","22","CL0","University Degree"
"Legalh","42","17","31","24","22","CL3","University Degree"
"LSD","42","17","31","24","22","CL0","University Degree"
"Meth","42","17","31","24","22","CL0","University Degree"
"Mushrooms","42","17","31","24","22","CL1","University Degree"
"Nicotine","42","17","31","24","22","CL6","University Degree"
"Semer","42","17","31","24","22","CL0","University Degree"
"VSA","42","17","31","24","22","CL0","University Degree"
"Alcohol","38","23","19","22","20","CL6","17"
"Amphet","38","23","19","22","20","CL1","17"
"Amyl","38","23","19","22","20","CL1","17"
"Benzos","38","23","19","22","20","CL2","17"
"Caff","38","23","19","22","20","CL6","17"
"Cannabis","38","23","19","22","20","CL6","17"
"Choc","38","23","19","22","20","CL2","17"
"Coke","38","23","19","22","20","CL1","17"
"Crack","38","23","19","22","20","CL1","17"
"Ecstasy","38","23","19","22","20","CL2","17"
"Heroin","38","23","19","22","20","CL0","17"
"Ketamine","38","23","19","22","20","CL0","17"
"Legalh","38","23","19","22","20","CL0","17"
"LSD","38","23","19","22","20","CL1","17"
"Meth","38","23","19","22","20","CL0","17"
"Mushrooms","38","23","19","22","20","CL1","17"
"Nicotine","38","23","19","22","20","CL6","17"
"Semer","38","23","19","22","20","CL0","17"
"VSA","38","23","19","22","20","CL0","17"
"Alcohol","18","25","25","25","23","CL3","University Degree"
"Amphet","18","25","25","25","23","CL1","University Degree"
"Amyl","18","25","25","25","23","CL1","University Degree"
"Benzos","18","25","25","25","23","CL1","University Degree"
"Caff","18","25","25","25","23","CL6","University Degree"
"Cannabis","18","25","25","25","23","CL6","University Degree"
"Choc","18","25","25","25","23","CL6","University Degree"
"Coke","18","25","25","25","23","CL1","University Degree"
"Crack","18","25","25","25","23","CL0","University Degree"
"Ecstasy","18","25","25","25","23","CL1","University Degree"
"Heroin","18","25","25","25","23","CL0","University Degree"
"Ketamine","18","25","25","25","23","CL2","University Degree"
"Legalh","18","25","25","25","23","CL2","University Degree"
"LSD","18","25","25","25","23","CL1","University Degree"
"Meth","18","25","25","25","23","CL6","University Degree"
"Mushrooms","18","25","25","25","23","CL1","University Degree"
"Nicotine","18","25","25","25","23","CL6","University Degree"
"Semer","18","25","25","25","23","CL0","University Degree"
"VSA","18","25","25","25","23","CL1","University Degree"
"Alcohol","11","29","26","26","29","CL1","Trade School"
"Amphet","11","29","26","26","29","CL1","Trade School"
"Amyl","11","29","26","26","29","CL0","Trade School"
"Benzos","11","29","26","26","29","CL2","Trade School"
"Caff","11","29","26","26","29","CL6","Trade School"
"Cannabis","11","29","26","26","29","CL6","Trade School"
"Choc","11","29","26","26","29","CL6","Trade School"
"Coke","11","29","26","26","29","CL1","Trade School"
"Crack","11","29","26","26","29","CL0","Trade School"
"Ecstasy","11","29","26","26","29","CL0","Trade School"
"Heroin","11","29","26","26","29","CL0","Trade School"
"Ketamine","11","29","26","26","29","CL0","Trade School"
"Legalh","11","29","26","26","29","CL0","Trade School"
"LSD","11","29","26","26","29","CL0","Trade School"
"Meth","11","29","26","26","29","CL3","Trade School"
"Mushrooms","11","29","26","26","29","CL0","Trade School"
"Nicotine","11","29","26","26","29","CL6","Trade School"
"Semer","11","29","26","26","29","CL0","Trade School"
"VSA","11","29","26","26","29","CL0","Trade School"
"Alcohol","35","14","24","30","14","CL5","18"
"Amphet","35","14","24","30","14","CL2","18"
"Amyl","35","14","24","30","14","CL0","18"
"Benzos","35","14","24","30","14","CL3","18"
"Caff","35","14","24","30","14","CL6","18"
"Cannabis","35","14","24","30","14","CL6","18"
"Choc","35","14","24","30","14","CL6","18"
"Coke","35","14","24","30","14","CL1","18"
"Crack","35","14","24","30","14","CL0","18"
"Ecstasy","35","14","24","30","14","CL2","18"
"Heroin","35","14","24","30","14","CL1","18"
"Ketamine","35","14","24","30","14","CL2","18"
"Legalh","35","14","24","30","14","CL2","18"
"LSD","35","14","24","30","14","CL1","18"
"Meth","35","14","24","30","14","CL6","18"
"Mushrooms","35","14","24","30","14","CL2","18"
"Nicotine","35","14","24","30","14","CL2","18"
"Semer","35","14","24","30","14","CL0","18"
"VSA","35","14","24","30","14","CL1","18"
"Alcohol","20","13","23","25","12","CL3","Some College"
"Amphet","20","13","23","25","12","CL0","Some College"
"Amyl","20","13","23","25","12","CL0","Some College"
"Benzos","20","13","23","25","12","CL1","Some College"
"Caff","20","13","23","25","12","CL3","Some College"
"Cannabis","20","13","23","25","12","CL1","Some College"
"Choc","20","13","23","25","12","CL6","Some College"
"Coke","20","13","23","25","12","CL1","Some College"
"Crack","20","13","23","25","12","CL1","Some College"
"Ecstasy","20","13","23","25","12","CL1","Some College"
"Heroin","20","13","23","25","12","CL0","Some College"
"Ketamine","20","13","23","25","12","CL0","Some College"
"Legalh","20","13","23","25","12","CL0","Some College"
"LSD","20","13","23","25","12","CL1","Some College"
"Meth","20","13","23","25","12","CL0","Some College"
"Mushrooms","20","13","23","25","12","CL1","Some College"
"Nicotine","20","13","23","25","12","CL1","Some College"
"Semer","20","13","23","25","12","CL0","Some College"
"VSA","20","13","23","25","12","CL0","Some College"
"Alcohol","26","31","14","27","23","CL6","University Degree"
"Amphet","26","31","14","27","23","CL0","University Degree"
"Amyl","26","31","14","27","23","CL0","University Degree"
"Benzos","26","31","14","27","23","CL0","University Degree"
"Caff","26","31","14","27","23","CL3","University Degree"
"Cannabis","26","31","14","27","23","CL2","University Degree"
"Choc","26","31","14","27","23","CL6","University Degree"
"Coke","26","31","14","27","23","CL2","University Degree"
"Crack","26","31","14","27","23","CL0","University Degree"
"Ecstasy","26","31","14","27","23","CL2","University Degree"
"Heroin","26","31","14","27","23","CL0","University Degree"
"Ketamine","26","31","14","27","23","CL0","University Degree"
"Legalh","26","31","14","27","23","CL0","University Degree"
"LSD","26","31","14","27","23","CL0","University Degree"
"Meth","26","31","14","27","23","CL0","University Degree"
"Mushrooms","26","31","14","27","23","CL0","University Degree"
"Nicotine","26","31","14","27","23","CL2","University Degree"
"Semer","26","31","14","27","23","CL0","University Degree"
"VSA","26","31","14","27","23","CL0","University Degree"
"Alcohol","25","23","26","25","22","CL5","Some College"
"Amphet","25","23","26","25","22","CL2","Some College"
"Amyl","25","23","26","25","22","CL2","Some College"
"Benzos","25","23","26","25","22","CL2","Some College"
"Caff","25","23","26","25","22","CL6","Some College"
"Cannabis","25","23","26","25","22","CL6","Some College"
"Choc","25","23","26","25","22","CL5","Some College"
"Coke","25","23","26","25","22","CL3","Some College"
"Crack","25","23","26","25","22","CL0","Some College"
"Ecstasy","25","23","26","25","22","CL2","Some College"
"Heroin","25","23","26","25","22","CL0","Some College"
"Ketamine","25","23","26","25","22","CL2","Some College"
"Legalh","25","23","26","25","22","CL2","Some College"
"LSD","25","23","26","25","22","CL2","Some College"
"Meth","25","23","26","25","22","CL0","Some College"
"Mushrooms","25","23","26","25","22","CL2","Some College"
"Nicotine","25","23","26","25","22","CL6","Some College"
"Semer","25","23","26","25","22","CL0","Some College"
"VSA","25","23","26","25","22","CL0","Some College"
"Alcohol"," 9","26","13","23","20","CL6","Some College"
"Amphet"," 9","26","13","23","20","CL0","Some College"
"Amyl"," 9","26","13","23","20","CL0","Some College"
"Benzos"," 9","26","13","23","20","CL0","Some College"
"Caff"," 9","26","13","23","20","CL6","Some College"
"Cannabis"," 9","26","13","23","20","CL1","Some College"
"Choc"," 9","26","13","23","20","CL4","Some College"
"Coke"," 9","26","13","23","20","CL0","Some College"
"Crack"," 9","26","13","23","20","CL0","Some College"
"Ecstasy"," 9","26","13","23","20","CL0","Some College"
"Heroin"," 9","26","13","23","20","CL0","Some College"
"Ketamine"," 9","26","13","23","20","CL0","Some College"
"Legalh"," 9","26","13","23","20","CL0","Some College"
"LSD"," 9","26","13","23","20","CL0","Some College"
"Meth"," 9","26","13","23","20","CL0","Some College"
"Mushrooms"," 9","26","13","23","20","CL1","Some College"
"Nicotine"," 9","26","13","23","20","CL1","Some College"
"Semer"," 9","26","13","23","20","CL0","Some College"
"VSA"," 9","26","13","23","20","CL0","Some College"
"Alcohol","19","16","17","10","39","CL6","18"
"Amphet","19","16","17","10","39","CL3","18"
"Amyl","19","16","17","10","39","CL3","18"
"Benzos","19","16","17","10","39","CL0","18"
"Caff","19","16","17","10","39","CL6","18"
"Cannabis","19","16","17","10","39","CL6","18"
"Choc","19","16","17","10","39","CL6","18"
"Coke","19","16","17","10","39","CL3","18"
"Crack","19","16","17","10","39","CL0","18"
"Ecstasy","19","16","17","10","39","CL3","18"
"Heroin","19","16","17","10","39","CL0","18"
"Ketamine","19","16","17","10","39","CL5","18"
"Legalh","19","16","17","10","39","CL4","18"
"LSD","19","16","17","10","39","CL3","18"
"Meth","19","16","17","10","39","CL0","18"
"Mushrooms","19","16","17","10","39","CL3","18"
"Nicotine","19","16","17","10","39","CL5","18"
"Semer","19","16","17","10","39","CL0","18"
"VSA","19","16","17","10","39","CL0","18"
"Alcohol","24","19","23"," 9","15","CL5","Some College"
"Amphet","24","19","23"," 9","15","CL0","Some College"
"Amyl","24","19","23"," 9","15","CL3","Some College"
"Benzos","24","19","23"," 9","15","CL3","Some College"
"Caff","24","19","23"," 9","15","CL6","Some College"
"Cannabis","24","19","23"," 9","15","CL6","Some College"
"Choc","24","19","23"," 9","15","CL5","Some College"
"Coke","24","19","23"," 9","15","CL5","Some College"
"Crack","24","19","23"," 9","15","CL0","Some College"
"Ecstasy","24","19","23"," 9","15","CL3","Some College"
"Heroin","24","19","23"," 9","15","CL0","Some College"
"Ketamine","24","19","23"," 9","15","CL4","Some College"
"Legalh","24","19","23"," 9","15","CL3","Some College"
"LSD","24","19","23"," 9","15","CL0","Some College"
"Meth","24","19","23"," 9","15","CL0","Some College"
"Mushrooms","24","19","23"," 9","15","CL2","Some College"
"Nicotine","24","19","23"," 9","15","CL6","Some College"
"Semer","24","19","23"," 9","15","CL0","Some College"
"VSA","24","19","23"," 9","15","CL0","Some College"
"Alcohol","17","30","22","17","20","CL5","Some College"
"Amphet","17","30","22","17","20","CL2","Some College"
"Amyl","17","30","22","17","20","CL2","Some College"
"Benzos","17","30","22","17","20","CL0","Some College"
"Caff","17","30","22","17","20","CL5","Some College"
"Cannabis","17","30","22","17","20","CL2","Some College"
"Choc","17","30","22","17","20","CL4","Some College"
"Coke","17","30","22","17","20","CL2","Some College"
"Crack","17","30","22","17","20","CL2","Some College"
"Ecstasy","17","30","22","17","20","CL2","Some College"
"Heroin","17","30","22","17","20","CL0","Some College"
"Ketamine","17","30","22","17","20","CL0","Some College"
"Legalh","17","30","22","17","20","CL0","Some College"
"LSD","17","30","22","17","20","CL2","Some College"
"Meth","17","30","22","17","20","CL0","Some College"
"Mushrooms","17","30","22","17","20","CL2","Some College"
"Nicotine","17","30","22","17","20","CL2","Some College"
"Semer","17","30","22","17","20","CL0","Some College"
"VSA","17","30","22","17","20","CL2","Some College"
"Alcohol","28","24","28","21","28","CL6","PhD"
"Amphet","28","24","28","21","28","CL0","PhD"
"Amyl","28","24","28","21","28","CL3","PhD"
"Benzos","28","24","28","21","28","CL0","PhD"
"Caff","28","24","28","21","28","CL6","PhD"
"Cannabis","28","24","28","21","28","CL4","PhD"
"Choc","28","24","28","21","28","CL5","PhD"
"Coke","28","24","28","21","28","CL0","PhD"
"Crack","28","24","28","21","28","CL0","PhD"
"Ecstasy","28","24","28","21","28","CL0","PhD"
"Heroin","28","24","28","21","28","CL0","PhD"
"Ketamine","28","24","28","21","28","CL0","PhD"
"Legalh","28","24","28","21","28","CL0","PhD"
"LSD","28","24","28","21","28","CL0","PhD"
"Meth","28","24","28","21","28","CL0","PhD"
"Mushrooms","28","24","28","21","28","CL2","PhD"
"Nicotine","28","24","28","21","28","CL0","PhD"
"Semer","28","24","28","21","28","CL0","PhD"
"VSA","28","24","28","21","28","CL0","PhD"
"Alcohol","31","25","20","22","26","CL6","University Degree"
"Amphet","31","25","20","22","26","CL0","University Degree"
"Amyl","31","25","20","22","26","CL0","University Degree"
"Benzos","31","25","20","22","26","CL0","University Degree"
"Caff","31","25","20","22","26","CL6","University Degree"
"Cannabis","31","25","20","22","26","CL0","University Degree"
"Choc","31","25","20","22","26","CL6","University Degree"
"Coke","31","25","20","22","26","CL0","University Degree"
"Crack","31","25","20","22","26","CL0","University Degree"
"Ecstasy","31","25","20","22","26","CL0","University Degree"
"Heroin","31","25","20","22","26","CL0","University Degree"
"Ketamine","31","25","20","22","26","CL0","University Degree"
"Legalh","31","25","20","22","26","CL0","University Degree"
"LSD","31","25","20","22","26","CL0","University Degree"
"Meth","31","25","20","22","26","CL0","University Degree"
"Mushrooms","31","25","20","22","26","CL0","University Degree"
"Nicotine","31","25","20","22","26","CL0","University Degree"
"Semer","31","25","20","22","26","CL0","University Degree"
